timestamp,source_ip,dest_ip,port,protocol,bytes,failed_login,event_type
2026-02-16T14:44:36.336055,192.168.1.12,50.144.187.117,3306,ICMP,13130,0,connection
2026-02-16T14:44:57.336055,192.168.1.49,40.98.137.199,6379,ICMP,43851,0,connection
2026-02-16T14:45:08.336055,192.168.1.45,81.204.169.217,143,UDP,4567,0,connection
2026-02-16T14:45:17.336055,192.168.1.25,209.38.143.92,3306,ICMP,24579,0,connection
2026-02-16T14:45:20.336055,192.168.1.35,178.104.59.160,993,TCP,17706,0,connection
2026-02-16T14:45:29.336055,192.168.1.18,46.179.20.68,80,TCP,40654,0,connection
2026-02-16T14:45:30.336055,192.168.1.36,46.51.171.134,22,UDP,7618,0,connection
2026-02-16T14:45:38.336055,192.168.1.45,171.6.85.200,3306,UDP,40860,0,connection
2026-02-16T14:45:52.336055,192.168.1.31,55.173.21.28,80,TCP,30046,0,connection
2026-02-16T14:45:58.336055,192.168.1.32,50.144.187.117,143,ICMP,43654,0,connection
2026-02-16T14:46:03.336055,192.168.1.6,219.241.216.121,3306,UDP,48532,0,connection
2026-02-16T14:46:08.336055,192.168.1.47,40.98.137.199,110,ICMP,13414,0,connection
2026-02-16T14:46:17.336055,192.168.1.13,219.192.84.43,143,TCP,33010,0,connection
2026-02-16T14:46:36.336055,192.168.1.29,101.101.144.53,80,ICMP,27191,0,connection
2026-02-16T14:46:46.336055,192.168.1.40,46.179.20.68,143,ICMP,9113,0,connection
2026-02-16T14:46:51.336055,192.168.1.11,28.204.74.29,53,ICMP,15864,0,connection
2026-02-16T14:46:55.336055,192.168.1.40,81.98.13.136,3306,ICMP,14622,0,connection
2026-02-16T14:47:11.336055,192.168.1.17,109.9.5.132,6379,UDP,13875,0,connection
2026-02-16T14:47:44.336055,192.168.1.37,158.125.218.253,110,ICMP,17044,0,connection
2026-02-16T14:47:48.336055,192.168.1.36,113.139.252.139,22,TCP,41467,0,connection
2026-02-16T14:47:49.336055,192.168.1.29,145.254.251.209,80,TCP,44178,0,connection
2026-02-16T14:47:58.336055,192.168.1.2,46.119.42.203,25,UDP,17803,0,connection
2026-02-16T14:48:06.336055,192.168.1.42,97.154.249.150,25,ICMP,10053,0,connection
2026-02-16T14:48:11.336055,192.168.1.2,219.241.216.121,25,ICMP,36466,0,connection
2026-02-16T14:48:18.336055,192.168.1.39,219.241.216.121,995,UDP,21006,0,connection
2026-02-16T14:48:25.336055,192.168.1.21,113.139.252.139,22,ICMP,31151,0,connection
